s.no,CPU,MRP
29,Intel Core i5-2500K 3.3 GHz Upto 3.7 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,300"
30,amd Ryzen 5 5600 3.5 GHz Upto 4.4 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹15,799"
31,Intel Core i5-3570 3.4 GHz Upto 3.8 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,496"
32,Intel Core i5-4570 (4TH Gen) Quad-Core 6MB Cache 3.2 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹2,397"
33,amd Ryzen 5 5500 3.6 GHz Upto 4.2 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹11,796"
34,Intel i5 4570 3.3 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹3,148"
35,Intel i7-12700F 4.9 GHz Upto 4.9 GHz LGA1700 Socket 12 Cores 20 Threads Desktop Processor,"₹27,399"
36,Intel I7-11700F 4.9 GHz Upto 4.9 GHz LGA 1200 Socket 8 Cores 16 Threads Desktop Processor,"₹26,518"
37,Intel I5 3570 3.8 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹1,790"
38,Intel Core i3 10th Gen 10100f 3.6 GHz LGA 1200 Socket 4 Cores Desktop Processor,"₹7,940"
39,processsor Ultra 3.1 GHz LGA 1155 Core i3 2nd Generation Support H61 Motherboards Processor,₹466
40,Intel I5-4590(4Th Gen) 6 MB Cache 3.3 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹3,372"
41,wnd 3.4 GHz LGA 1155 Intel Core i5-2400 Processor,₹999
42,Intel i5-12600K 4.9 GHz Upto 4.9 GHz LGA1700 Socket 10 Cores 16 Threads Desktop Processor,"₹27,499"
43,Intel i3-10105 4.4 GHz Upto 4.4 GHz LGA 1200 Socket 4 Cores 8 Threads Desktop Processor,"₹9,999"
44,Intel Core i3-3240 3.4 GHz LGA 1155 Socket 2 Cores 4 Threads 3 MB Smart Cache Desktop Processor,"₹1,699"
45,Intel i9-12900 5.1 GHz Upto 5.1 GHz LGA1700 Socket 16 Cores 24 Threads Desktop Processor,"₹47,999"
46,Intel core I5 3rd Gen 3570 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,500"
47,Intel i5 650 LGA 1156 3.2 GHz LGA 1156 Socket 2 Cores Desktop Processor,"₹1,900"
48,GIGASTAR 3.4 GHz LGA 1155 Intel i3 (3240) 3rd Gen Processor for H61 Chipset Processor,₹800
49,Intel Core i9-10850K 3.6 GHz Upto 5.2 GHz LGA 1200 Socket 10 Cores 20 Threads 20 MB Smart Cache Desktop Processor,"₹37,957"
50,Intel i3 (3220) 3rd Generation Processor for H61 Motherboards 3.3 GHz LGA 1155 Socket 2 Cores Desktop Processor,"₹1,709"
51,amd RYZEN 5 5600 SERIES 5000 3.5 GHz AM4 Socket 6 Cores 3 MB L2 32 MB L3 Desktop Processor,"₹18,999"
52,amd Ryzen 9 7950X 4.5 GHz Upto 5.7 GHz AM5 Socket 16 Cores 32 Threads Desktop Processor,"₹60,999"
53,"Intel i5-4590S (4TH Gen) 6MB Cache, 3 GHz LGA 1150 Socket 4 Cores Desktop Processor","₹2,660"
54,amd Ryzen 7 5700X 3.4 GHz Upto 4.6 GHz AM4 Socket 8 Cores 16 Threads Desktop Processor,"₹19,656"
55,PROCESSORE 3.1 GHz LGA 1155 intel core i5 2400 2nd gen Processor,"₹1,015"
56,Teratech 2200 GHz LGA 775 Heatsink Processor,₹349
57,amd Ryzen 7 7700X 4.5 GHz Upto 5.4 GHz AM5 Socket 8 Cores 16 Threads Desktop Processor,"₹32,990"
58,"Intel i5-4460 ( 4Th Generation ) 6 MB Smart Cache, 3.2 GHz LGA 1150 Socket 4 Cores Desktop Processor","₹3,150"
59,"Intel i5-4590T (4TH Gen) 6MB Cache, 2 GHz LGA 1150 Socket 4 Cores Desktop Processor","₹2,900"
60,Intel Core i5 3470 3.6 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹1,700"
61,Intel Pentium Gold G6400 4 GHz LGA 1200 Socket 2 Cores 4 Threads 4 MB Smart Cache Desktop Processor,"₹6,399"
62,Intel I7 4770 3.4 GHz LGA 1150 Socket 2 Cores Desktop Processor,"₹6,150"
63,Intel Core i5-4570S (4TH Gen) Quad-Core 6MB Cache 2.9 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹2,800"
64,Intel Core i7-10700K 3.8 GHz Upto 5.1 GHz LGA 1200 Socket 8 Cores 16 Threads 16 MB Smart Cache Desktop Processor,"₹28,499"
65,Intel CORE I5 4590 ( 4TH GENERATION ) PROCESSOR 3.3 GHz Upto 3.7 GHz LGA 1150 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹3,100"
66,Intel Core i5-10600K 4.1 GHz Upto 4.8 GHz LGA 1200 Socket 6 Cores 12 Threads 12 MB Smart Cache Desktop Processor,"₹22,499"
67,Intel Core(TM) i7-10700F 2.9 GHz LGA 1200 Socket 8 Cores Desktop Processor,"₹24,999"
68,Intel i9-12900F 5.1 GHz Upto 5.1 GHz LGA1700 Socket 16 Cores 24 Threads Desktop Processor,"₹46,999"
69,Refurb 3.2 GHz LGA 1150 Corei5 4th Processor,"₹1,990"
70,Intel Core i5-3470 3.2 GHz Upto 3.6 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,734"
71,Intel I7-11700K 5 Ghz Upto 5 GHz LGA 1200 Socket 8 Cores 16 Threads Desktop Processor,"₹30,999"
72,suryaasys 3.7 GHz LGA 1150 core i5 4590 Processor,"₹2,400"
73,amd Ryzen 9 7900X 4.7 GHz Upto 5.6 GHz AM5 Socket 12 Cores 24 Threads Desktop Processor,"₹44,390"
74,Intel 3570 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹1,800"
75,Intel G6405 4.1 GHz Upto 4.1 GHz LGA 1200 Socket 2 Cores 4 Threads Desktop Processor,"₹5,499"
76,Intel Core i9-9980XE Extreme Edition 3 GHz Upto 4.4 GHz LGA 2066 Socket 18 Cores 36 Threads Desktop Processor,"₹79,999"
77,Intel I9-12900KF 5.2 GHz Upto 5.2 GHz LGA1700 Socket 16 Cores 24 Threads Desktop Processor,"₹49,399"
78,amd Ryzen 5 4500 3.6 GHz Upto 4.1 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹11,099"
79,amd Ryzen� 5 7600 3.8 GHz Upto 5.1 GHz AM5 Socket 6 Cores 12 Threads 6 MB L2 32 MB L3 Desktop Processor,"₹22,790"
80,Intel Core i9-10900X X-series 3.7 GHz LGA 2066 Socket 10 Cores Desktop Processor,"₹63,999"
81,Intel i5 2500 3.7 GHz LGA 1155 Socket 2 Cores Desktop Processor,"₹1,575"
82,GIGASTAR 3.2 GHz LGA 1156 Intel Core i5-650 For H55 Motherboard 1st Generation Processor,₹765
83,Intel Core i5-4670 (4TH Gen) Quad-Core 6MB Cache 3.4 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹2,999"
84,Intel Core i9-10900KF 3.7 GHz Upto 5.3 GHz LGA 1200 Socket 10 Cores 20 Threads 20 MB Smart Cache Desktop Processor,"₹42,999"
85,PROCESSORE 3.2 GHz LGA 1150 I3 6TH 6100T Processor,"₹3,599"
86,Intel I5-11500 4.6 GHz Upto 4.6 GHz LGA 1200 Socket 6 Cores 12 Threads Desktop Processor,"₹20,999"
87,wnd 3.06 GHz LGA 775 Intel Core 2 Duo E7600/3.06/3M/1066 MHz Processor,₹410
88,betaohm 2.6 GHz LGA 1155 Intel G620 Processor,₹359
89,Intel Core i3-2120 3.3 GHz LGA 1155 Socket 2 Cores 4 Threads 3 MB Smart Cache Desktop Processor,₹800
90,amd Ryzen 5 3500X 6 Cores & 6 Threads up to 4.1GHz 3.6 GHz Upto 4.1 GHz AM4 Socket 6 Cores 6 Threads 3 MB L2 32 MB L3 Desktop Processor,"₹10,750"
91,amd R7 3700X 3.6 GHz Upto 4.4 GHz AM4 Socket 8 Cores 16 Threads 4 MB L2 32 MB L3 Desktop Processor,"₹27,999"
92,Intel Core i9-10980XE Extreme Edition 3 GHz Upto 4.6 GHz LGA 2066 Socket 18 Cores 36 Threads 25 MB Smart Cache Desktop Processor,"₹87,370"
93,Intel i9-10940X 4.6 GHz Upto 4.6 GHz LGA 2066 Socket 14 Cores 28 Threads Desktop Processor,"₹69,999"
94,wnd 3.06 GHz LGA 1156 Intel Core i3-540 3.06 GHz Processor,₹999
95,Intel i7-11700 2.5 GHz Upto 2.5 GHz LGA 1200 Socket 8 Cores 16 Threads Desktop Processor,"₹26,899"
96,Intel I3-10100F LGA1200 3.6 GHz Upto 4.3 GHz LGA 1200 Socket 4 Cores 8 Threads 6 MB Smart Cache Desktop Processor,"₹6,998"
97,Intel Core i7 7700 3.6 GHz LGA 1151 Socket 4 Cores Desktop Processor,"₹14,100"
98,wnd 2.93 GHz LGA 775 Intel Core 2 Duo E7500/2.93/3M/1066 MHz Processor,₹399
99,Intel CORE I5 2400 PROCESSOR ( 2ND GENERATION ) 3.1 GHz Upto 3.4 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,289"
100,WDNET 3.4 GHz LGA 1151 INTEL CORE I5 6TH GEN PROCESSOR Processor,"₹6,499"
101,Intel CORE I5 3470 PROCESSOR ( 3RD GENERATION ) 3.2 GHz Upto 3.6 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹3,209"
102,MULTIHOB 3.2 GHz LGA 1155 i5 3470 3.20Ghz Processor,"₹1,699"
103,KAVTRON 3 GHz LGA 775 intel Core2 Duo E8400 3.0Ghz G31/G35/G41/G45 Motherboard LGA775 6MB Processor Processor,₹699
104,WDNET 3.3 GHz LGA 1155 INTEL CORE I3 4TH GEN PROCESSOR Processor,"₹2,999"
105,amd Ryzen� 9 7900X 3D 4.4 GHz Upto 5.6 GHz AM5 Socket 12 Cores 24 Threads 12 MB L2 128 MB L3 Desktop Processor,"₹55,999"
106,Intel I7 4790 4 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹6,300"
107,"Intel i5-4670 ( 4Th Generation ) 6 MB Smart Cache, 3.4 GHz LGA 1150 Socket 4 Cores Desktop Processor","₹2,950"
108,Intel Core i3-540 3.06 GHz LGA 1156 Socket 2 Cores 4 Threads 4 MB Smart Cache Desktop Processor,"₹1,350"
109,Intel Core i5 3570 Best Performance 3rd Generation 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,382"
110,Gigatech 4 GHz LGA 1151 core i7 6th generation (OEM Tray) Desktop processor Processor,"₹11,316"
111,"Intel Core 2 Duo (E8400) 6M Cache , 3 GHz LGA 775 Socket 2 Cores Desktop Processor","₹1,800"
112,Intel I7-11700 4.9 GHz Upto 4.9 GHz LGA 1200 Socket 8 Cores 16 Threads Desktop Processor,"₹29,999"
113,Intel I5 6500 3.2 GHz LGA 1151 Socket 4 Cores Desktop Processor,"₹5,200"
114,Intel Core i3 2120 2nd Generation 3.3 GHz LGA 1155 Socket 2 Cores Desktop Processor,"₹1,249"
115,KAVTRON 3.4 GHz LGA 1155 3rd Gen Processor in-tel Core i3-3240 3.4Ghz for H71 or H61 Motherboard LGA-1155 Processor,"₹2,249"
116,Intel i5-11400 4.4 GHz Upto 4.4 GHz LGA 1200 Socket 6 Cores 12 Threads Desktop Processor,"₹14,818"
117,Intel i5-11400F 4.4 GHz Upto 2.6 GHz LGA 1200 Socket 6 Cores 12 Threads Desktop Processor,"₹13,000"
118,betaohm 3.2 GHz LGA 1151 Intel Core I5-6500 3.2 GHz 4 Cores 4 Threads 6 MB Smart Cache Processor,"₹5,180"
119,OCTA 2.93 GHz LGA 775 E7500 Processor,₹650
120,Intel 6100 3.7 GHz LGA 1151 Socket 2 Cores 4 Threads Desktop Processor,"₹2,600"
121,Intel 3570 processor 3.8 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹1,889"
122,"Intel i5-4690(4Th Generation ) 6 MB Smart Cache, 3.5 GHz LGA 1150 Socket 4 Cores Desktop Processor","₹3,299"
123,TAJ PC 3.4 GHz LGA 1155 I5 3570 3rd generation Processor,"₹2,199"
124,Intel Core i3 2100 3.1 GHz LGA 1155 Socket 2 Cores Desktop Processor,₹900
125,Etake 3.6 GHz LGA 775 CPU Fan Cooler and Heat-Sink Cooling Fan 12V DC Processor,₹349
126,GIGASTAR 3.2 GHz LGA 1151 INTEL CORE I3 6100T Processor,"₹6,750"
127,Intel 2400 3.1 GHz LGA 1155 Socket 8 Cores Desktop Processor,"₹2,298"
128,wnd 3.4 GHz LGA 1155 Intel Core i5 3570 Best Performance 3rd Generation Processor,"₹2,180"
129,Intel i9-10920X 4.6 GHz Upto 4.6 GHz LGA 2066 Socket 12 Cores 24 Threads Desktop Processor,"₹60,999"
130,22 TECH 2.93 GHz LGA 775 INTEL 2.93 Core Two Duo High Speed Processor Processor,₹699
131,suryaasys 3.6 GHz LGA 1151 I3 8100 Processor,"₹5,000"
132,Intel e-7500 2.93 GHz Upto 2.93 GHz LGA 775 Socket 2 Cores 2 Threads 3 MB Smart Cache Desktop Processor,"₹1,150"
133,Intel I5 2500 3.3 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹1,869"
134,aby 3.3 GHz LGA 1156 INTEL CORE I5 4590 Processor,"₹3,449"
135,Intel I3-3220 3.3 GHz LGA 775 Socket 2 Cores 4 Threads 3 MB Smart Cache Desktop Processor,"₹1,998"
136,wnd 3.2 GHz LGA 1156 Intel Core i5-650 For H55 Motherboard 1st Generation Processor (Silver) Processor,"₹1,100"
137,Intel i3-12100 4.3 GHz Upto 4.3 GHz LGA1700 Socket 4 Cores 8 Threads Desktop Processor,"₹12,999"
138,ITFY TECH 3.7 GHz LGA 1150 I5 4590S Processor,"₹3,450"
139,Intel i3 3240 3 GHz LGA 1155 Socket 2 Cores Desktop Processor,"₹1,698"
140,Intel Core i3-3250 (3RD Generation) 3.5 GHz LGA 1155 Socket 2 Cores Desktop Processor,"₹1,500"
141,suryaasys 3.2 GHz LGA 1366 I7 960 Processor,"₹2,900"
142,Intel I5-4590T 2 GHz LGA 1150 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹3,500"
143,"Intel I3 4150 3.5 GHz LGA 1150 Socket 2 Cores Desktop, Tablet Processor","₹3,899"
144,Intel 540 core I3 1st 3 GHz LGA 1156 Socket 4 Cores Desktop Processor,"₹1,299"
145,Processorss 3.3 GHz LGA 1155 Intel 3rd Generation Core i3 3220 3.3 GHz LGA 1155 Socket Processor,"₹1,099"
146,WDNET 3.3 GHz LGA 1155 INTEL CORE I5 4TH GEN PROCESSOR Processor,"₹2,800"
147,WDNET 3.7 GHz LGA 1151 Intel Core i3 6th Generation CPU Processor,"₹3,000"
148,betaohm 3.3 GHz LGA 1155 Intel Core i5 2500 i5-2500 3.3GHz Processor,"₹1,950"
149,suryaasys 3.7 GHz LGA 1151 I3 6100 Processor,"₹2,400"
150,Intel Core i3-7100 ( 7Th Gen ) 3MB Smart Cache 3.9 GHz LGA 1151 Socket 2 Cores Desktop Processor,"₹9,999"
151,Intel 1st Generation Core i3 550 Processor LGA 1156 Supported 3.2 GHz LGA 1156 Socket 2 Cores 4 Threads 4 MB Smart Cache Desktop Processor,"₹1,339"
152,Intel 3570K 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,400"
153,Intel I5 3470 3.2 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,350"
154,betaohm 3 GHz LGA 1155 Intel Socket Processor 2 Core 3.0GHz lga 1155 (G2030) Processor,₹585
155,Dtech 2.6 GHz LGA 1155 G620 Processor,₹389
156,wnd 3.3 GHz LGA 1150 INTEL CORE I3 4TH GENERATION Processor Processor,₹777
157,Intel Core i5-2400 3.1 GHz Upto 3.4 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,786"
158,processsor Ultra 3.9 GHz LGA 1155 I3-7100 Processor,"₹3,120"
159,Intel I5 3550 3.3 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹1,800"
160,Intel Core i5-3470 3.2 GHz Upto 3.6 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor (Silver) 3.2 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,652"
161,amd RYZEN 5 3500 3.6 GHz Upto 4.1 GHz AM4 Socket 6 Cores 6 Threads 3 MB L2 16 MB L3 Desktop Processor,"₹15,999"
162,Intel I3 3250 3.5 GHz LGA 1155 Socket 2 Cores Desktop Processor,"₹1,200"
163,Intel G5900 3.4 GHz LGA 1200 Socket 2 Cores Desktop Processor,"₹5,999"
164,Intel I5 2400 3.4 GHz LGA 1156 Socket 4 Cores Desktop Processor,"₹2,199"
165,wnd 3.7 GHz LGA 1150 Intel Core i5 4th Generation Processor,"₹2,700"
166,Intel 6100T 3.2 GHz LGA 1151 Socket 2 Cores 4 Threads Desktop Processor,"₹2,250"
167,Intel I3 2120 3.3 GHz LGA 1155 Socket 2 Cores Desktop Processor,"₹1,400"
168,amd A6-7400K 3.5 GHz Upto 3.9 GHz FM2 Socket 2 Cores 2 Threads 1 MB L2 0 MB L3 Desktop Processor,"₹5,500"
169,Intel CORE I5 3570 PROCESSOR ( 3RD GENERATION ) 3.4 GHz Upto 3.8 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,878"
170,PROCESSORE 3.1 GHz LGA 1155 I32ND GEN I3 2100 Processor,₹850
171,Intel 540 core I3 3.06 GHz LGA 1156 Socket 4 Cores Desktop Processor,"₹1,200"
172,betaohm 3.1 GHz LGA 1155 Intel Core i5-2400 Quad-Core Processor 3.1 GHz 6 MB Cache LGA 1155 Processor,"₹1,900"
173,Intel i5 QHVZ 2.2G 35W for LGA 1151 2.2 GHz LGA 1151 Socket 4 Cores Desktop Processor,"₹9,999"
174,srigs 3.2 GHz LGA 1155 Intel i5 3470 Processor,"₹1,800"
175,Intel I5 3570K 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,850"
176,KAVTRON 3.5 GHz LGA 1150 4th Gen Processor in-tel Core i3-4150 3.5Ghz for H81 Motherboard LGA-1150 Processor,"₹3,400"
177,WDNET 3.2 GHz LGA 1155 INTEL CORE i3 3RD GEN PROCESSOR Processor,"₹1,800"
178,amd ThreadRipper 1900X 3.8 Upto 4 AM4 Socket 8 Cores 16 Threads 4 L2 Workstation Processor,"₹66,000"
179,Intel G3240 4th Generation LGA 1150 3.1 GHz LGA 1150 Socket 2 Cores Desktop Processor,"₹1,092"
180,EXPERTRONICS 2.93 GHz LGA 775 Core 2 Duo 2.93 Processor,₹425
181,Intel I3 4130 3.4 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹1,350"
182,PROCESSORE 3.1 GHz LGA 1155 i5 2nd gen i5 2400 Processor,"₹2,000"
183,DTech Pentium 3 GHz LGA 1155 G2030 Processor,₹549
184,Dtech 2.9 GHz LGA 1155 G645 Processor,₹399
185,GIGASTAR 2.5 GHz LGA 1150 i5-2nd gen-2400 Processor,"₹1,990"
186,Dtech 3 GHz LGA 775 E5700 Processor,₹399
187,Dtech 2.9 GHz LGA 1155 G2020 Processor,₹449
188,Intel I5-3470 3.2 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,755"
189,Intel G3260 4Th Generation 3.3 GHz LGA 1150 Socket 2 Cores Desktop Processor,"₹1,263"
190,srigs 3.2 GHz LGA 1151 i7 8700 Processor,"₹16,999"
191,WHO 1333 GHz LGA 1150 775 E-8400 Processor Processor,₹599
192,"Intel G2130(Dual core ,3.2GHz ,LGA1155) 3.2 GHz LGA 1155 Socket 2 Cores Desktop Processor","₹1,187"
193,GIGASTAR 2 GHz LGA 1150 i5-4th gen-4590 Processor,"₹2,899"
194,"LAPTECH WORLD 3 GHz LGA 1155 Processor intel I5, 3rd Gen 3330, 3370 Processor","₹2,200"
195,Intel G3250T 4th Generation LGA 1150 2.8 GHz LGA 1150 Socket 2 Cores Desktop Processor,"₹1,092"
196,amd Ryzen7 7800X 3D 4.2 GHz AM5 Socket 8 Cores Desktop Processor,"₹45,799"
197,Intel Dual Core 4Th Gen G3420 3.2 GHz LGA 1150 Socket 2 Cores Desktop Processor,"₹1,140"
198,Intel G3250 4th Generation 3.2 GHz LGA 1150 Socket 2 Cores Desktop Processor,"₹1,234"
199,Intel Core i7-10700 2.9 GHz Upto 4.8 GHz LGA 1200 Socket 8 Cores 16 Threads 16 MB Smart Cache Desktop Processor,"₹26,435"
200,Intel i5-11600K 3.9 GHz Upto 3.9 GHz LGA 1200 Socket 6 Cores 12 Threads Desktop Processor,"₹23,999"
201,ERH India 100 GHz AM2 1 Pc Induction Cooling Fan Small Processor,₹299
202,Intel Core i3-3220 ( 3RD Genaretion ) 3.3 GHz LGA 1155 Socket 2 Cores Desktop Processor,"₹1,662"
203,Intel G630 2.7 GHz LGA 1155 Socket 2 Cores Desktop Processor,"₹1,499"
204,Arko 3.06 GHz LGA 1156 Intel Core i3-540 3.06 GHz (Refurbished) Processor,"₹1,519"
205,wnd 3.3 GHz LGA 1155 Intel 3rd Generation Core i3 3220 3.3 GHz Processor,₹733
206,Intel Core i3 4150 3.5 GHz LGA 1150 Socket 2 Cores Desktop Processor,"₹1,898"
207,GIG SN 3.5 GHz LGA 1200 I5 11400f Processor,"₹20,000"
208,Intel Core i5-4570T (4TH Generation) 6MB Cache 2.9 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹2,400"
209,Intel I3 6100T 3.2 GHz LGA 1151 Socket 2 Cores Desktop Processor,"₹6,500"
210,Intel Core i3-4130T 2.9 GHz LGA 1150 Socket 2 Cores 4 Threads 3 MB Smart Cache Desktop Processor,"₹4,180"
211,Intel Pentium G4400 3.3 GHz LGA 1150 Socket 2 Cores 2 Threads 3 MB Smart Cache Desktop Processor,"₹3,390"
212,Intel i5-3470T (3RD Gen) 2.9 GHz LGA 1155 Socket 2 Cores Desktop Processor,"₹2,900"
213,Intel 4th Generation 3.3 GHz LGA 1150 Socket 2 Cores Desktop Processor,"₹1,350"
214,Intel E2160 3 GHz LGA 775 Socket 2 Cores Desktop Processor,"₹1,300"
215,KAVTRON 3.1 GHz LGA 1155 KAV-INT-2100 Processor,"₹1,799"
216,KAVTRON 3.7 GHz LGA 1150 KAV-INT-4170 Processor,"₹5,999"
217,AQBP 2.9 GHz LGA 1156 Intel Core I3 530 2.93 GHz LGA 1156 Socket 4 Cores Desktop Processor (Silver) Processor,"₹1,050"
218,Dtech 3.3 GHz LGA 1150 G4400 Processor,"₹2,500"
219,Intel LGA 1150 4th Gen 3.3 GHz LGA 1150 Socket 2 Cores Desktop Processor,"₹1,450"
220,Intel I3 540 3.06 GHz LGA 1156 Socket 4 Cores Desktop Processor,"₹1,350"
221,Intel Dual Core G2020 2.9 GHz LGA 1155 Socket 2 Cores Desktop Processor,₹949
222,"Dtech 2.8 GHz AM2+, AM3 AMD Sempron 145 Processor Processor",₹499
223,wnd 850 GHz LGA 1155 Intel i3-2120 3.3 GHz 2 Cores Processor Processor,₹499
224,ERH India 100 GHz AM2 1 Pc Induction Cooling Fan Small Processor,₹388
225,Intel G4400 3.3 GHz LGA 1151 Socket 2 Cores Desktop Processor,"₹4,999"
226,Intel Core i5-3550 ( 3RD GEN ) Quad-Core 6MB Cache 3.3 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,422"
227,srigs 3.4 GHz LGA 1155 Intel Core i7-2600k (2nd Gen) Processor,"₹4,499"
228,betaohm 3 GHz LGA 1155 I5 3rd genration with Rgb mousepad with 2 year warrenty all over india Processor,"₹2,099"
