s.no,motherBoard,MRP
147,"Raspberry Pi 3 Model B 1GB RAM, 1.2GHz CPU, WiFi/BLE, 40 GPIO Pins Single Board Computer Motherboard","₹4,649"
148,ZEBRONICS Zeb-H61M2 with M2 slot LGA 1155 Socket Motherboard,"₹2,449"
149,ASRock Z790M -ITX WiFi Motherboard,"₹26,139"
150,MSI MEG Z590I UNIFY Motherboard,"₹37,399"
151,ASUS PRIME B660M-A D4 Motherboard,"₹14,499"
152,MSI MPG Z690 CARBON EK X Motherboard,"₹40,513"
153,MSI MPG Z690 EDGE WIFI DDR4 Motherboard,"₹32,100"
154,ASUS TUF Gaming Z590-Plus Wi-Fi Motherboard,"₹22,532"
155,ZEBRONICS ZEB-G41 D3 Motherboard,"₹2,450"
156,ZEBRONICS G41 Supported Socket 775 RAM DDR3 Motherboard,"₹2,019"
157,MSI MPG Z590 GAMING EDGE WIFI Motherboard,"₹29,518"
158,ZEBRONICS ZEB-G41-D2S Motherboard,"₹2,310"
159,GIGABYTE ?B760M DS3H AX DDR4 Motherboard,"₹16,999"
160,ZEBRONICS ZEB -H61 Motherboard,"₹2,190"
161,ZEBRONICS ZEB-H81M2 with NVMe Slot + Scuda 256GB NVMe SSD Combo Set (LGA 1150) Motherboard,"₹4,749"
162,Frontech H110/1151 DDR4 Motherboard,"₹3,819"
163,zebion H-61 Motherboard Motherboard,"₹2,800"
164,Frontech H55/1156 Motherboard,"₹2,129"
165,Dtech Lapcare H61 LA Motherboard,"₹2,399"
166,PAC 4-Digit PC Motherboard Diagnostic Card with User Manual Motherboard Motherboard,₹345
167,IKIS New PCI 4-Digit PC Motherboard Diagnostic Card with User Manual Motherboard,₹449
168,Dtech Gigabyte B75MS Motherboard with 3rd gen Core i3 Processor and 4Gb Ram Motherboard,"₹5,499"
169,aht M3A785GM-LE Motherboard,"₹1,615"
170,ZEBRONICS H81+128GB SATA SSD+4GB starlite DDR3 RAM with Pentium Dualcore G3250 CPU Combo Motherboard,"₹5,999"
171,Dtech Gigabyte GA-H61M-S Motherboard,"₹2,499"
172,Raspberry Pi 3 Model B Kit with Adapter Case LAN-HDMI Cable HeatSink SD Card & RPi 3B 1GB Motherboard,"₹5,499"
173,"ZEBRONICS ZEBH61 CORE I5 2400 8 GB RAM, FAN Motherboard","₹4,150"
174,Dtech Asus M4N68T-M LE V2 Motherboard,"₹2,399"
175,LAPCARE H110 Motherboard,"₹4,289"
176,ZEBRONICS Z31/G31 Combo kit Motherboard,"₹3,750"
177,GIGABYTE B560M-DS2H-AC Motherboard,"₹12,400"
178,ZEBRONICS H61+128 SATA GB SSD + 4GB starlite DDR3 RAM Combo set Motherboard,"₹5,062"
179,ASUS ROG STRIX B660A-GAMING-WiFi D4 Motherboard,"₹23,499"
