s.no,GPU,MRP
83,MSI NVIDIA RTX 3060 Ti 8 GB GDDR6 Graphics Card,"₹44,999"
84,"amd AMD Radeon Sapphire NITRO+ Radeon™ RX 6600 XT Graphic Card with 8 GB GDDR6, RDNA™ 2 8 GB GDDR6 Graphics Card","₹49,499"
85,amd AMD Radeon RX 6700 XT 12 GB GDDR6 Graphics Card,"₹60,999"
86,Verilux NVIDIA Addressable RGB Graphics Card GPU Brace Support Video Card Sag Holder 1 GB DDR3 Graphics Card,"₹1,499"
87,MSI AMD Radeon Radeon RX 6600 MECH 2X 8G 8 GB GDDR6 Graphics Card,"₹34,999"
88,MSI NVIDIA GeForce RTX 2060 VENTUS GP OC 6 GB GDDR6 Graphics Card,"₹32,479"
89,ASRock AMD Radeon RX6500XT PGD 4 GB GDDR6 Graphics Card,"₹20,999"
90,"amd AMD Radeon Sapphire Pulse Radeon™ RX 6800 Graphic Card with 16 GB GDDR6, RDNA™ 16 GB GDDR6 Graphics Card","₹99,999"
91,PowerColor AMD Radeon Fighter 6700XT 12 GB GDDR6 Graphics Card,"₹62,890"
92,"Xsentuals NVIDIA PCIe Riser Adapter Card VER009S / 009S Black & Gold 16x to 1x 60cm USB 3.0 Extension Cable - GPU Riser Adapter - Mining Bitcoin, Ethereum ETH Zcash ZEC Monero XMR 16 GB GDDR4 Graphics Card",₹499
93,GIGABYTE AMD Radeon GV-R69XTGAMING OC-16GD 16 GB GDDR6 Graphics Card,"₹1,39,999"
94,MSI NVIDIA RTX 3070 GAMING 8 GB GDDR6 Graphics Card,"₹59,499"
95,GIGABYTE NVIDIA 1650-1 Fan 4 GB GDDR6 Graphics Card,"₹13,200"
96,MSI NVIDIA GeForce RTX 3080 SUPRIM X 12G LHR 12 GB GDDR6X Graphics Card,"₹1,84,999"
97,Inno3D NVIDIA GEFORCE RTX 3050 Twin X2 OC 8 GB GDDR6 Graphics Card,"₹31,413"
98,amd AMD Radeon RX 6600 8 GB GDDR6 Graphics Card,"₹36,339"
99,Inno3D NVIDIA GEFORCE RTX 3060 TI ITWIN X2 LHR 8 GB GDDR6 Graphics Card,"₹41,499"
100,Colorful NVIDIA RTX-3080 Ti 12 GB GDDR6X Graphics Card,"₹99,999"
101,Inno3D NVIDIA GEFORCE RTX 3060 Twin X2 OC 12 GB GDDR6 Graphics Card,"₹47,999"
102,GEONIX NVIDIA GX GT610 2GB D3 2 GB DDR3 Graphics Card,"₹2,157"
103,Inno3D NVIDIA RTX 3090 TI 24GB X3 OC 24 GB GDDR6X Graphics Card,"₹2,06,999"
104,LipiWorld NVIDIA VER-14Pro V014 Pro PCI-E 1X to 16X Pcie Riser for Bitcoin ETH Coin Mining 16 GB GDDR4 Graphics Card,₹649
