s.no,SSD,MRP
76,"powerx SS1000 256 GB All in One PC's, Desktop, Laptop Internal Solid State Drive (SSD) (256GB)","₹1,350"
77,WD Green™ 480 GB Desktop Internal Solid State Drive (SSD) (480GB 2.5-inch SATA III - WDS480G3G0A),"₹2,637"
78,"WD SN850 without Heatsink 2 TB Laptop, All in One PC's, Desktop Internal Solid State Drive (SSD) (WDS200T1X0E)","₹25,109"
79,"Simmtronics 2280 256 GB Laptop, Desktop Internal Solid State Drive (SSD) (ssd 256)","₹1,549"
80,"HP HP S650 2.5"" 240 GB Laptop, Desktop, All in One PC's Internal Solid State Drive (SSD) (S650 2.5""- 240 GB)","₹1,999"
81,WD Green SN350 M.2 NVMe 480 GB Desktop Internal Solid State Drive (SSD) (WDS480G2G0C),"₹3,199"
82,"Crucial P3 Plus PCIe 4.0 NVMe M.2 2280 500 GB Desktop, Laptop Internal Solid State Drive (SSD) (CT500P3PSSD8)","₹3,499"
83,"Intex SATA 256 GB All in One PC's, Desktop, Laptop, Surveillance Systems Internal Solid State Drive (SSD) (PANTHER 256GB SATA SSD)","₹1,449"
84,WD WD Green 2 TB Desktop Internal Solid State Drive (SSD) (WDS200T2G0A),"₹12,099"
85,"KingSpec SATA III 120 GB Desktop, Laptop Internal Solid State Drive (SSD) (ORIGNAL BRAND)","₹1,099"
86,Consistent 5 Year Warranty 512 GB Laptop Internal Solid State Drive (SSD) (CTSSD512S6),"₹2,100"
87,"Silicon Power P34A60 512 GB Desktop, Laptop Internal Solid State Drive (SSD) (SP512GBP34A60M28)","₹2,399"
88,"WESTERN DIGITAL WD Green Nvme SN350 2 TB Desktop, Laptop Internal Solid State Drive (SSD) (WDS200T3G0C)","₹10,059"
89,HP EX900 250GB NVME 250 GB Laptop Internal Solid State Drive (SSD) (2YY43AA#ABC),"₹2,596"
90,KINGSTON SSD NV2 4.0 500 GB Desktop Internal Solid State Drive (SSD) (SNV2S/500G),"₹2,750"
91,"GEONIX 1 256 GB Laptop, Desktop Internal Solid State Drive (SSD) (256GB GOLDEDITION)","₹1,175"
92,"WD 480 GB SSD 480 GB Desktop, Laptop, Network Attached Storage Internal Solid State Drive (SSD) (WD480)","₹2,754"
93,"EVM SSD 512 GB All in One PC's, Desktop, Laptop, Network Attached Storage Internal Solid State Drive (SSD) (512GB SSD 2.5')","₹2,050"
94,"ZEBRONICS SMART 256 GB Desktop, All in One PC's, Laptop, Servers Internal Solid State Drive (SSD) (ZEB SD26)","₹1,300"
95,"Matrix SATA III 128 GB Desktop, Laptop, All in One PC's Internal Solid State Drive (SSD) (SST128GA-L)",₹799
96,"WD SN850 without Heatsink 1 TB Laptop, All in One PC's, Desktop Internal Solid State Drive (SSD) (WDS100T1X0E)","₹10,746"
97,"WD GREEN 240 GB All in One PC's, Laptop Internal Solid State Drive (SSD) (WDS240G3G0A)","₹1,749"
98,EVM M.2 2280 512 GB Laptop Internal Solid State Drive (SSD) (M.2 2280 512GB SSD),"₹2,199"
99,"Crucial CT1000P3PSSD8 1000 GB Desktop, Laptop Internal Solid State Drive (SSD) (P3 Plus PCIe 4.0 NVMe M.2 2280)","₹5,579"
100,"SAMSUNG 980 Pro 1 TB Laptop, Desktop Internal Solid State Drive (SSD) (MZ-V8P1T0BW)","₹9,099"
101,"WESTERN DIGITAL WD Blue M.2 500 GB Desktop, Laptop Internal Solid State Drive (SSD) (WDS500G3B0B)","₹3,059"
102,"Consistent 2.5 SATA 128 GB Laptop, Desktop Internal Solid State Drive (SSD) (CTSSD128S6 128GB SSD DRIVE)",₹920
103,"GEONIX 1 128 GB Desktop, Laptop Internal Solid State Drive (SSD) (Gx 128GB SSD GOLD)",₹840
104,"EVM NVME 1 TB Desktop, Laptop, Network Attached Storage, Surveillance Systems Internal Solid State Drive (SSD) (1TB M.2 NVME PCIE SSD)","₹4,799"
105,"PNY NVME 256 GB Laptop, Desktop, Servers, All in One PC's Internal Solid State Drive (SSD) (CS1031 NVMe Gen3x4 SSD- 256GB)","₹2,599"
106,"ZEBRONICS SSD 128 GB All in One PC's, Desktop, Laptop Internal Solid State Drive (SSD) (ZEB MN13)","₹1,299"
107,"ZEBRONICS SSD 256 GB All in One PC's, Desktop, Laptop Internal Solid State Drive (SSD) (ZEB M26)","₹2,425"
108,"AARVEX AX650 512 GB Desktop, Laptop, Servers Internal Solid State Drive (SSD) (AX650 SATA)","₹2,699"
109,Simmtronics PRO NVME 512 GB Laptop Internal Solid State Drive (SSD) (S970P PRO NVME),"₹2,449"
110,"GEONIX NVMe 256 GB Laptop, Desktop Internal Solid State Drive (SSD) (SUPERSONIC256 NVMe)","₹1,489"
111,GIGABYTE NVMe SSD 1TB 1 TB Desktop Internal Solid State Drive (SSD) (GP-GSM2NE3100TNTD),"₹9,499"
112,WD Blue 3D 500 GB Laptop Internal Solid State Drive (SSD) (WDS500G2B0B),"₹2,259"
113,"KINGSTON NV2 250 GB Laptop, Desktop, All in One PC's Internal Solid State Drive (SSD) (NV2 PCIe 4.0 NVMe SSD)","₹2,450"
114,"WD Green SATA 2.5/7mm disque 120 GB Laptop, All in One PC's, Desktop Internal Solid State Drive (SSD) (WDS120G2G0A)","₹1,700"
115,Consistent SOLID STATE DRIVE 256 256 GB Laptop Internal Solid State Drive (SSD) (CTSSD256S5),"₹1,250"
116,Acer RE100 M.2 256 GB Laptop Internal Solid State Drive (SSD) (RE100 M.2),"₹2,499"
117,"GEONIX SSD GOLD 1 TB Desktop, Laptop, All in One PC's Internal Solid State Drive (SSD) (SUPERSONIC1024GB)","₹3,490"
118,"Silicon Power A55 1 TB Desktop, Laptop Internal Solid State Drive (SSD) (SP001TBSS3A55S25)","₹3,999"
119,"WD AN1500 2 TB Laptop, All in One PC's, Desktop Internal Solid State Drive (SSD) (WDS200T1X0L)","₹44,183"
120,LAPCARE GEN3 512 GB Laptop Internal Solid State Drive (SSD) (LAPDISC),"₹2,569"
121,"SAMSUNG 970 EVO Plus 250 GB Laptop, Desktop Internal Solid State Drive (SSD) (MZ-V7S250BW)","₹3,039"
