s.no,Ram,MRP
236,Hynix ddr2 DDR2 2 GB PC (Hynix DDR2 2GB PC RAM),₹399
237,SAMSUNG Premium DDR2 2 GB PC (Desktop),₹599
238,SAMSUNG Original DDR2 2 GB (Single Channel) PC (Samsung DDR2 2GB PC RAM),"₹1,390"
239,consistant DT PC2 667 DDR2 2 GB (Single Channel) PC (10022023),₹599
240,Diachi DT PC2 800 DDR2 2 GB (Dual Channel) PC (DI2GD2),₹449
241,ANWI SYSTEMS ORA DDR4 8 GB (Single Channel) PC SDRAM (ORA 8GB RAM SDRAM 3200 MHz),"₹1,730"
242,Simmtronics DESKTOP RAM DDR4 32 GB (Single Channel) PC (3200 MHz),"₹6,997"
243,discover tech supply 12800u DDR3 4 GB (Dual Channel) PC (Ramaxel RMR5040ED58E9W-1600 PC3-12800U 2Rx8 Desktop Memory),₹849
244,BRTY NA DDR3 8 GB PC (8GB DDR3 RAM DESKTOP),"₹1,750"
245,REO Desktop 8 GB DDR3 RAM PC3-12800 240-Pin DIMM DDR3 8 GB (Single Channel) PC (DDR3 8GB),"₹2,400"
246,SAMSUNG Pc3-10600/1333 DDR3 4 GB PC (4GB DDR3 1333 M378B5273DH0-CH9),₹911
247,AVN ULTRA DDR3 1 GB (Dual Channel) PC (M378B2873GHO),"₹2,400"
248,Starlite DDR4 4GB Desktop Ram (2400MHz) DDR4 4 GB PC (PC2400),"₹1,850"
249,AARVEX DDR4 2400 DDR4 8 GB (Single Channel) PC (DDR4 2400MHZ),"₹2,275"
250,hinix ddr3 DDR3 2 GB (Single Channel) PC (ra123),"₹1,300"
251,STELLULAR 3200/25600MHZ DDR4 8 GB (Dual Channel) PC (ST8GD4-25600U),"₹1,899"
252,REO DESKTOP DDR4 4 GB RAM 2666MHz PC4-21300 288-Pin DIMM DDR4 8 GB (Single Channel) PC DRAM (DDR4 8GB),"₹4,250"
253,aoxer Desktop RAM 2017-07 DDR4 8 GB PC (AAP24D4G8),"₹4,999"
254,Crucial CT DDR4 4 GB (Single Channel) PC SDRAM (CT4G4DFS8266),"₹1,099"
255,STELLULAR 2666/21300MHZ DDR4 4 GB (Dual Channel) PC (ST4GD4-21300U),"₹1,140"
256,Rex ddr DDR2 2 GB (Single Channel) PC (Ram ddr2),₹850
257,REO DESKTOP PC-3 12800 240-Pin DIMM DDR3 4 GB (Single Channel) PC (DDR3 4GB),"₹1,500"
258,Hynix ddr2 DDR2 2 GB PC (2gb ddr2 destop),₹508
259,MANSI ULTRA DDR2 2 GB (Dual Channel) PC (MANSI01),"₹1,800"
260,SAMSUNG DDR3 1333MHZ DDR3 4 GB (Dual Channel) PC (M378B5273CH0-CH9 PC3-10600U DESKTOP PC RAM),"₹1,180"
261,Thermaltake TOUGHRAM Z-ONE RGB DDR4 8 GB (Dual Channel) PC (R019D408GX2-3200C16A),"₹9,172"
262,G.Skill Trident Z Neo 3200 Mhz DDR4 16 GB (Dual Channel) PC (F4-3200C16D-16GTZN),"₹16,999"
263,G.Skill Ripjaws DDR4 16 GB (Single Channel) PC SDRAM (F4-3200C16S-16GVK - 1*16GB 3200 MHz Desktop RAM),"₹14,599"
264,G.Skill Ripjaws V DDR4 8 GB (Single Channel) PC (2400 MHz Desktop RAM - F4-2400C17S-8GVR),"₹4,999"
265,ADATA GAMMIX D30 DDR4 8 GB (Single Channel) PC SDRAM (8 GB 3200 MHz AX4U32008G16A-SR30 Desktop RAM),"₹6,299"
266,HIKVISION DESKTOP MEMORY DDR4 4 GB (Dual Channel) PC DRAM (HKED404),"₹1,795"
267,HIKVISION DESKTOP MEMORY DDR4 8 GB (Single Channel) PC (HKEDX4081CBA1D0ZA1 8G),"₹1,395"
268,"ShopGlobal Desktop DDR4 8 GB (Quad Channel) PC, PC (MST-1867)","₹2,024"
269,G.Skill Ripjaws DDR4 8 GB (Single Channel) PC SDRAM (F4-3600C18S-8GVK - 1*8GB 3600 MHz Desktop RAM),"₹7,599"
270,Thermaltake TOUGHRAM RGB DDR4 8 GB (Dual Channel) PC (RG28D408GX2-3600C18A),"₹11,361"
271,"ShopGlobal Desktop DDR3 8 GB (Dual Channel) PC, PC (MST-1858)","₹1,709"
272,Thermaltake TOUGHRAM RGB DDR4 8 GB (Dual Channel) PC (R022D408GX2-3600C18A),"₹10,950"
273,G.Skill Ripjaws DDR4 32 GB (Single Channel) PC SDRAM (F4-3200C16S-32GVK - 1*32GB 3200 MHz Desktop RAM),"₹28,599"
274,PremiumAV Desktop DDR4 8 GB (Dual Channel) PC (Desktop RAM 2666 MHz),"₹2,999"
275,Thermaltake TOUGHRAM RGB DDR4 8 GB (Dual Channel) PC (R009D408GX2-3200C16A),"₹10,266"
276,"Starlite Gold 8GB DDR3 1600MHZ Desktop RAM DDR3 8 GB PC Desktop Ram (DDR3 ,1600Mhz)","₹1,550"
277,XPG Spectrix D50 DDR4 16 GB (Dual Channel) PC (3200 MHz Desktop RAM - AX4U32008G16A- DT50),"₹13,299"
278,Thermaltake TOUGHRAM RGB DDR4 8 GB (Dual Channel) PC (RG25D408GX2-3600C18A),"₹11,361"
279,Simmtronics 2666 MHz DDR4 4 GB PC (PC),₹999
280,SIMMTRONICS 2133 MHz DDR4 8 GB PC (DDR4),"₹2,618"
281,simtronics ddr3 DDR3 4 GB PC (DLUD3SIM0008),₹699
282,GEONIX RAM DDR3 4 GB (Dual Channel) PC 4 GB DDR3 (RAM DDR3),₹499
283,Hynix 002 DDR3 4 GB (Dual Channel) PC (DDR3 4GB RAM),₹494
284,Hynix ddr3 DDR3 2 GB PC (2gb ddr3 destop),₹555
285,Simmtronics 2400 MHz DDR4 4 GB PC (RAM),₹999
286,DAICHI 1600 DDR3 8 GB (Dual Channel) PC (8GB RAM),"₹1,614"
287,"simtronics U-DIMM 2400MHZ DDR4 8 GB (Single Channel) PC, Server (Desktop RAM)","₹1,525"
288,PremiumAV Desktop DDR4 4 GB (Dual Channel) PC (MST-1860),"₹1,299"
289,PremiumAV Desktop DDR4 16 GB (Dual Channel) PC (MST-1868),"₹4,999"
290,TECH- Assemblers DDR2 DDR2 2 GB (Dual Channel) PC (DDR2-2GB),₹699
291,PremiumAV Desktop DDR3 2 GB (Dual Channel) PC (MST-1855),₹599
292,KINGSTON KVR DDR3 4 GB (Single Channel) PC (KVR16N11S8/4-SP),"₹2,100"
293,"Frontech RAM DDR4 4 GB PC (2133/2400 MHz Desktop RAM Memory, Suitable for Gaming, Multitasking)",₹859
294,Starlite DDR DDR4 8 GB PC (8GB DDR4 PC2400),"₹1,799"
295,KINGSTON PC4-21300 Desktop PC DDR4 4 GB (Single Channel) PC (Hyper X HX426C15FB/4 DDR4-2666 CL15 288-Pin DIMM),"₹4,899"
296,KINGSTON RAM DDR4 8 GB PC 288-Pin DDR4 SDRAM (2400MHz Non-ECC CL17 DIMM 1Rx8 Desktop Memory - KVR24N17S8 8),"₹2,699"
297,Hynix 1600Mhz low voltage 1.35V DDR3 4 GB PC (GB_007),₹460
298,PremiumAV Desktop DDR3 2 GB (Dual Channel) PC (MST-1854),₹599
299,SIMMRTONICS 1333 DESKTOP 4GB DDR3 DDR3 4 GB (Single Channel) PC (PC 1333 DESKTOP 4GB DDR3),₹699
300,EXPERTRONICS PRO DDR3 4 GB (Dual Channel) PC (EXP4GB31600D),₹480
301,Starlite DDR DDR4 8 GB (Single Channel) PC (8GB DDR4 PC3200),"₹1,850"
302,Grabdeal DLUD3SIM0007 DDR3 2 GB PC (2GB DDR3 1333 U-DIMM The Ordinary Ram Optimizing Performance),₹599
303,Simmtronics DESKTOP RAM DDR2 1 GB (Single Channel) PC (400Mhz),"₹2,045"
304,Grabdeal DLUD2SIM0007 DDR2 2 GB PC (DLUD2SIM0007 2GB DDR2 667 U-DIMM The Ordinary Ram Optimizing Performance),₹649
305,PremiumAV Desktop DDR3 8 GB (Dual Channel) PC (MST-1859),"₹1,999"
306,Crucial CL19 DDR4 8 GB (Single Channel) PC (Basic 1.2v (CB8GU2666)),"₹1,999"
307,"Starlite GOLD 8GB DDR4 3200 MHZ Desktop RAM , DDR4 8 GB PC (8GB,3200MHZ)","₹1,899"
308,Dandy 2RX8 PC2=6400U-66-12 DDR2 2 GB PC (High Speed Ram For PC),₹649
309,Hynix ram DDR2 2 GB (Single Channel) PC (ram 2gb ddr2),₹384
310,SIMMRTONICS DDR3 1333 4GB DSKTP DDR3 4 GB (Single Channel) PC (DDR3 1333 4GB DSKTP),₹699
311,simtronics 2 GB DDR3 1333Mhz DDR3 2 GB (Single Channel) PC (2GB DDR3 DIMM RAM 1333Mhz),₹375
312,Starlite 4GB DDR3 PC1333U (1333MHz) DDR3 4 GB (Single Channel) PC (DESKTOP RAM),"₹1,305"
313,Simmtronics 2400 MHz DDR4 16 GB PC (2400 MHz),"₹2,775"
314,Simmtronics 2133 MHz DDR4 16 GB PC (2133 MHz),"₹5,292"
315,Hynix ddr3 DDR3 2 GB PC (HMT125S6TFR8C),₹350
316,Hynix MODULE DDR3 2 GB (Single Channel) PC (10600U-09-10-F3),₹370
